Key,Cosine Similarity,Question Type
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.4169946212946294,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"During a squat, if the knees fall inwards which muscle are weak?",0.4000933886493457,['Question that describes a hypothetical scenario and asks a question based on this scenario']
If a patient's X ray has dark spots on the chest what does it mean?,0.2777868924324798,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Describe treatment methods of congenital Talipes equinovarus.,0.6073461406717606,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']"
What are the most common injuries in childhood among Hispanic families?,0.39042113126424005,['Open-ended question that is potentially ambiguous']
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.38710991059902555,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.5613639652740092,['Advice or suggestions on how to approach a problem']
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.2038719147563322,['Directed question that has a single unambiguous answer']
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.6308651363613687,['Directed question that has a single unambiguous answer']
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.0,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What kind of advice can I give to a parent with a child with vocal nodules?,0.4628972439429787,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What classroom strategies are there for DLD?,0.47708063211970303,['Advice or suggestions on how to approach a problem']
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.6019957490921292,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the diagnostic criteria for Anorexia Nervosa?,0.6272062017566906,['Directed question that has a single unambiguous answer']
What is the evidence base for CBT for depression?,0.5104998242580291,['Summarization of information on a topic']
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.6193549717106218,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the condition that is associated with Carhartt’s Notch?,0.24881464532950925,['Directed question that has a single unambiguous answer']
What are the two types of hearing loss?,0.850102452131326,['Directed question that has a single unambiguous answer']
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.3958745716255441,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.5294526270613527,['Open-ended question that is potentially ambiguous']
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.36131373839095976,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the treatment for blood vessel clogging?,0.42891613060694084,['Directed question that has a single unambiguous answer']
What do you think the future of image guided therapy is?,0.5582615437882075,['Request for opinion on a topic']
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.5497144998427956,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What is the first step to do in a patient with a VF?,0.2434780911936641,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.3873945344222415,['Open-ended question that is potentially ambiguous']
How to treat a patient with 80% of his body with 3rd grade burnings?,0.566833134843394,['Question that describes a hypothetical scenario and asks a question based on this scenario']
A patient is allergic to the only medication suitable for curing them. What do you do?,0.3633405693210405,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Do toxic chemicals become more or less toxic when they expire?,0.4489726165186941,['Open-ended question that is potentially ambiguous']
What is the interaction between Anaerobyl and Alcohol on the human system?,0.5098223538292352,['Directed question that has a single unambiguous answer']
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.604535070803483,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.4034325229230722,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.7776935002810861,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']"
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.5710023784218422,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']"
How can we reduce patient surgery backlog in Canada?,0.5004537717546859,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']"
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.7024481976571185,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Is it possible to compound intrathecal methotrexat?,0.39083840730229064,"['Request for a list of resources where one can find more information', 'Request for opinion on a topic']"
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",0.31366291198771745,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What's the best treatment option for an asthma crisis on a pediatric patient?,0.39836194645387174,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.5516126129550798,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,0.4850448640167375,['Advice or suggestions on how to approach a problem']
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,0.4924069983097868,['Question that describes a hypothetical scenario and asks a question based on this scenario']
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.4861659169722871,['Open-ended question that is potentially ambiguous']
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.32428691310639585,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.3733408818501215,['Directed question that has a single unambiguous answer']
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",0.2996297542559881,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What legislation underpins assessment of children with disabilities for social care support?,0.7154784335666687,['Directed question that has a single unambiguous answer']
How should I engage with a non-verbal child to gather their views?,0.4286214040060449,['Advice or suggestions on how to approach a problem']
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.430916026869659,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']"
Should expectorant or antitussive syrup be recommended for a wet cough?,0.34810338350664366,['Directed question that has a single unambiguous answer']
What can severe pain in the right side of the belly button indicate?,0.6672151067625608,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Sickle cells are characteristic from which kind of disease?,0.20820812677742861,['Directed question that has a single unambiguous answer']
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.24120210285362073,['Question that describes a hypothetical scenario and asks a question based on this scenario']
How can we treat infection caused by Neisseria gonorrhoeae?,0.45897662938254546,['Directed question that has a single unambiguous answer']
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",0.46298622183152144,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",0.5253035381919245,['Advice or suggestions on how to approach a problem']
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.7416168801376622,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']"
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.27945013920907996,['Directed question that has a single unambiguous answer']
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",0.5081614187205867,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,0.39215645840762703,['Summarization of information on a topic']
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",0.3380660904664913,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What are the common approaches to coping with periods of acute dis-regulation?,0.2813643579675862,['Advice or suggestions on how to approach a problem']
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.6726223567211842,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Teach me PCR in three sentences.,0.5849318665484422,['Summarization of information on a topic']
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.4852326819246612,['Open-ended question that is potentially ambiguous']
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",0.7307105557765733,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Should we inform patients that homeopathic medicines don't work?,0.306024618436097,['Directed question that has a single unambiguous answer']
Why we do not check exact ingredients of dietary supplements?,0.5469560850765616,['Open-ended question that is potentially ambiguous']
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,0.5548792152975651,['Question that describes a hypothetical scenario and asks a question based on this scenario']
When would you start antibiotic in a acute pharingitis?,0.3414859612470358,['Advice or suggestions on how to approach a problem']
What is the first radiological sign of fetal death?,0.5099712839734596,['Directed question that has a single unambiguous answer']
What is the initial treatment for anal fissures?,0.5285748091791412,['Summarization of information on a topic']
"A patient who is a smoker has a lesion on his mouth that causes pain, could it be a carcinoma?",0.47610062225692873,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the best anesthesia for diabetic patients?,0.191677663134519,['Directed question that has a single unambiguous answer']
How does smoking affect periodontal disease?,0.47846011141647504,['Open-ended question that is potentially ambiguous']
How can a clinician confirm that a patient with a headache has subarachnoid hemorrhage ?,0.33560408004335907,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
When does a chronic lympocytic leukemia transform to a diffuse large b cell lymphoma?,0.22805564337968406,['Open-ended question that is potentially ambiguous']
A 30 year old primigravid pregnant woman walks into the clinic complaining of intense contractions that last. How can a physician differentiate between true onset of labour and braxton hicks contractions?,0.5375710225207779,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What are the most common translocations associated with chronic myeloid leukemia? ,0.2566667091169586,['Directed question that has a single unambiguous answer']
My child has been having easy bruising and fatigue for the past 6 months. Recently his labs came back and his total lymphocyte count was elevated. The diagnosis given to me by the doctor was acute lymphoblastic leukemia. What is it and what is the prognosis? ? ,0.7599535632076511,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"Give that I'm 23 years old, smoking 12 cigarettes daily for the past three years, with history of dyslipidemia, which types of cancer am I most prone to get? ",0.5005210256373683,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What are signs of a patient experiencing sepsis?,0.2542002670906742,['Summarization of information on a topic']
"If a patient comes in having shortness of breath, what are potential treatment options?",0.5125293998337794,['Open-ended question that is potentially ambiguous']
"A patient comes in with shortness of breath and pulmonary oedema, what are the differental diagonosis?",0.37957923410952366,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"How can we classify studies conducted by transgender people? As the gender they define themselves as or as a separate category, transgender people?",0.28398534309979484,['Open-ended question that is potentially ambiguous']
"A patient with early dementia. This person is being given all possible care and is living a happy life surrounded by family members who are helping him through the process. The problem is that the patient has made a provision in his living will that if at any time his dementia becomes limiting, he will request euthanasia. That moment will come, but this person is happy now. Should the decision he made when he was mentally fit be applied, or, taking into account that he is happy, should he be allowed to live longer?",0.6024686154457176,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"A person who does not like working with people but is passionate about medicine. Knowing that he/she will not be happy practicing, is it worthwhile for him/her to finish such a difficult career just for vocation? ",0.543838987493558,['Open-ended question that is potentially ambiguous']
"A patient receiving treatment including cisplatin, paclitaxel, and pembrolizumab develops worsening shortness of breath one week after her third dose of treatment. What possible problems could she have developed and what should studies should be included in her initial workup?",0.23085632855750282,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What is the impact of consultation duration in efficacy of health results obtained in the long term? Where can I find more information to help me gauge the impact of the amount of time spent with the patient in each consultation?,0.4654573678332607,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']"
"When a patient is started on biologic medications, it is important to rule out latent infections like tuberculosis, and complete certain vaccination schemes. Can you compile which of these attitudes are recommended for each different biologic treatment used in rheumatology?",0.16733750953214976,['Summarization of information on a topic']
"In a 55 year-old patient whose cardiovascular risk factors are dislipidemia (assume a c-LDL of 150 mg/dL) and smoking (assume 20 cigarettes/day, for 20 years), if you could only choose one, which of the following would have a greater impact in reducing cardiovascular risk: smoking cessation, or starting atorvastatin 20 mg, once daily?",0.19804040211997234,['Directed question that has a single unambiguous answer']
How often should I brush and floss my teeth?,0.36544323964911835,['Open-ended question that is potentially ambiguous']
Should you put bond when you do fissure sealants?,0.3547211417741561,['Directed question that has a single unambiguous answer']
Should you extract third molars prolifically?,0.34370442691289876,['Open-ended question that is potentially ambiguous']
Which PPI should not be given with clopidogrel?,0.10385790900950854,['Directed question that has a single unambiguous answer']
When someone takes warfarin what are the vegetables that should be avoided?,0.5209860535852038,['Open-ended question that is potentially ambiguous']
What are the side effects of ACEIs?,0.3111957429023995,['Summarization of information on a topic']
Does the medical field require one to be consumed by drugs rather than holistic medicines?,0.35314870021093214,['Open-ended question that is potentially ambiguous']
Do you think cognitive behavioural therapy can work for psychosis?,0.3852798326877228,['Request for opinion on a topic']
How do you adapt cognitive stimulation therapy for individuals with a learning disability?,0.561210752563246,['Advice or suggestions on how to approach a problem']
Which books are the best for child and youth psychiatry?,0.589916006408139,['Request for a list of resources where one can find more information']
What is known about the switch that occurs between patients with latent HIV and active infection?,0.45130254192599206,['Summarization of information on a topic']
What has caused the recent stock problems in HRT?,0.38853959318654663,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
How long will it take for a child to speak with therapy?,0.555642714077633,['Open-ended question that is potentially ambiguous']
What would be the best methodological approach to study microRNAs as therapeutic targets in HIV patients?,0.5831468062087143,['Advice or suggestions on how to approach a problem']
Why do people look down on healthcare workers?,0.5577594717472335,['Open-ended question that is potentially ambiguous']
What's the best treatment for fibromyalgia?,0.5192720002843231,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem', 'Request for a list of resources where one can find more information']"
What is the mechanism of action of the drug warfarin and how does it interact with other medications?,0.5110064248858797,['Summarization of information on a topic']
What is your opinion on euthanasia?,0.44777253287904534,['Request for opinion on a topic']
What are some early detection methods for Glomus tympanum?,0.5223521484890752,['Directed question that has a single unambiguous answer']
What the exact differences are between the male and the female brain?,0.5413887702001415,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']"
A person who has been unemployed for 20 years due to mental health problems would like to get a job. What support might you offer?,0.5259731425732638,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"What are the differential diagnosis for a patient who presents with fever, respiratory distress and high blood pressure?",0.4657845124403113,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
Which options for therapy are there for ADHD in children?,0.42430827480052624,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
How can you manage your patient expectations?,0.30751121350664634,['Open-ended question that is potentially ambiguous']
What cardiac condition affects neonates born to diabetic mothers?,0.396888040242003,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']"
What is known about DNA methylation profiles in patients with latent HIV-1 or with an active infection?,0.39150265148562247,['Summarization of information on a topic']
Does foot ulcer need a diet change rather than using iodine based medicines for it?,0.5109250690306097,['Request for a list of resources where one can find more information']
A patient presents to your clinic with a first episode psychosis. What are the NICE recommended treatments for this issue?,0.3277379649930089,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
How would you deal with a potentially abusive coworker?,0.4995368489188767,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"In the context of immune related blistering skin disorders, what are the potential causes for a false positive skin antibody on a blood test?",0.45585589854973935,['Open-ended question that is potentially ambiguous']
What are the most effective therapeutic interventions for treating depression?,0.7152537847775502,['Open-ended question that is potentially ambiguous']
How do you approach a doctor as a nurse if you think he administered a wrong medication for the symptoms of the patient? ,0.555655333519463,['Request for opinion on a topic']
How do I explain the difference between a language disorder and a language delay?,0.5425495922138837,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
"In status epilepticus after 1st and 2nd line treatment with benzodiazepines, should I load the patient with phenytoin or levetiracetam?",0.343777879623553,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem']"
Can nurses in Italy prescribe and administer low-risk drugs?,0.4825398785860731,['Directed question that has a single unambiguous answer']
What are the risks from a brucella culture within pathology lab?,0.3592105798770696,['Directed question that has a single unambiguous answer']
Compare behavioral testing to OAE or tympanometry in children.,0.5917996629418049,['Open-ended question that is potentially ambiguous']
What are the symptoms of sepsis?,0.2749746977939294,['Summarization of information on a topic']
What are the outcomes of using hyaluronidase?,0.4047862516902596,['Summarization of information on a topic']
A mother presents to my clinic wishing to know whether taking the pertussis vaccine during pregnancy will in anyway minimize her unborn child's chances of being hospitalized with pertussis. What is the efficacy of the maternal pertussis vaccine in infant hospitalization?,0.5166532199033632,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
How will the NHS england directed TA for covid medication and prescribing affect primary care in England?,0.2831953921036291,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']"
What are the differences between the different birth control devices that actually exist?,0.26618441251760366,['Open-ended question that is potentially ambiguous']
How to give the news of the death of a patient to his close relative?,0.07151839553270126,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']"
Can you summarize the krebs cycle?,0.7039993509242668,['Summarization of information on a topic']
How do I assess competence for decision making in a child in a child who is too young to apply the Mental Capacity Act?,0.577281524138587,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
Are there side effects to the use of botox?,0.5107618812069449,['Advice or suggestions on how to approach a problem']
What kind of impact does social media have on patients with anorexia?,0.41868607336094926,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
How do you deal with a patient who is sick but has no pointed symptoms and no health record?,0.4465795221652317,['Open-ended question that is potentially ambiguous']
Describes Hodge's blueprints.,0.41756901725966655,['Summarization of information on a topic']
What is the best way to store my medication to ensure its potency and safety?,0.42134275430474055,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"When providing intrapartum care, a midwife can prescribe appropriate pain relief. True or false?",0.3292042469618252,['Directed question that has a single unambiguous answer']
How would you do treat a psychotic crisis?,0.4701197610891149,['Open-ended question that is potentially ambiguous']
"A nine year old girl with severe ADHD has already tried all drugs that are allowed for children. None of them was sucessful. There was no benefit from the drugs, but many negative side effects from on just a little dose. What else can I try, if an ADHD patient isn't responding to any drug?",0.24571692361928982,['Question that describes a hypothetical scenario and asks a question based on this scenario']
