Key,BERTScore,Question Type
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.6544101238250732,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.6653665900230408,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.6904140114784241,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What findings could be appear on the RxTx of the previous patient?,0.4980972409248352,['Open-ended question that is potentially ambiguous']
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.6272926330566406,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.5843954086303711,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the sexually transmitted disease HPV?,0.6486008763313293,['Summarization of information on a topic']
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.609170138835907,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.6125375032424927,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.528632402420044,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']"
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.5659043788909912,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What are the most encountered barriers in clinical research related to Bioethics?,0.6300918459892273,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.617457926273346,['Directed question that has a single unambiguous answer']
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.5326290130615234,['Request for a list of resources where one can find more information']
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.6706904172897339,['Directed question that has a single unambiguous answer']
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.6842517256736755,['Open-ended question that is potentially ambiguous']
What sign is observed in the barium esophagram in patients with achalasia?,0.7470471262931824,['Directed question that has a single unambiguous answer']
What are the cardinal symptoms of laryngotracheitis?,0.6597732901573181,['Summarization of information on a topic']
What is the contraception method of election when a woman can't take estrogen?,0.675809919834137,['Open-ended question that is potentially ambiguous']
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.45129162073135376,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.40323737263679504,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"During a squat, if the knees fall inwards which muscle are weak?",0.5726028084754944,['Question that describes a hypothetical scenario and asks a question based on this scenario']
If a patient's X ray has dark spots on the chest what does it mean?,0.5162028074264526,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Describe treatment methods of congenital Talipes equinovarus.,0.6068340539932251,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']"
What are the most common injuries in childhood among Hispanic families?,0.4900604486465454,['Open-ended question that is potentially ambiguous']
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.5774186253547668,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.5896717309951782,['Advice or suggestions on how to approach a problem']
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.6366986036300659,['Directed question that has a single unambiguous answer']
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.6757824420928955,['Directed question that has a single unambiguous answer']
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.27677297592163086,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What kind of advice can I give to a parent with a child with vocal nodules?,0.6333993673324585,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What classroom strategies are there for DLD?,0.6300675868988037,['Advice or suggestions on how to approach a problem']
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.5995063185691833,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the diagnostic criteria for Anorexia Nervosa?,0.621938943862915,['Directed question that has a single unambiguous answer']
What is the evidence base for CBT for depression?,0.6160067319869995,['Summarization of information on a topic']
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.603187620639801,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the condition that is associated with Carhartt’s Notch?,0.46666550636291504,['Directed question that has a single unambiguous answer']
What are the two types of hearing loss?,0.7722322940826416,['Directed question that has a single unambiguous answer']
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.523637056350708,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.6631109714508057,['Open-ended question that is potentially ambiguous']
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.5459219813346863,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the treatment for blood vessel clogging?,0.6539449691772461,['Directed question that has a single unambiguous answer']
What do you think the future of image guided therapy is?,0.5716153383255005,['Request for opinion on a topic']
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.6629570126533508,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What is the first step to do in a patient with a VF?,0.623837947845459,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.6262396574020386,['Open-ended question that is potentially ambiguous']
How to treat a patient with 80% of his body with 3rd grade burnings?,0.5786616206169128,['Question that describes a hypothetical scenario and asks a question based on this scenario']
A patient is allergic to the only medication suitable for curing them. What do you do?,0.5298065543174744,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Do toxic chemicals become more or less toxic when they expire?,0.6380463242530823,['Open-ended question that is potentially ambiguous']
What is the interaction between Anaerobyl and Alcohol on the human system?,0.6208325624465942,['Directed question that has a single unambiguous answer']
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.5816918015480042,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.5625505447387695,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.7038218975067139,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']"
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.6449662446975708,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']"
How can we reduce patient surgery backlog in Canada?,0.599495530128479,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']"
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.6651870608329773,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Is it possible to compound intrathecal methotrexat?,0.5673723816871643,"['Request for a list of resources where one can find more information', 'Request for opinion on a topic']"
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",0.6434165239334106,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What's the best treatment option for an asthma crisis on a pediatric patient?,0.5711274147033691,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.712212860584259,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,0.5893093347549438,['Advice or suggestions on how to approach a problem']
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,0.6140370965003967,['Question that describes a hypothetical scenario and asks a question based on this scenario']
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.6263403296470642,['Open-ended question that is potentially ambiguous']
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.6378873586654663,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.5557774901390076,['Directed question that has a single unambiguous answer']
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",0.49503853917121887,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What legislation underpins assessment of children with disabilities for social care support?,0.5837547779083252,['Directed question that has a single unambiguous answer']
How should I engage with a non-verbal child to gather their views?,0.630445659160614,['Advice or suggestions on how to approach a problem']
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.6058919429779053,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']"
Should expectorant or antitussive syrup be recommended for a wet cough?,0.584253191947937,['Directed question that has a single unambiguous answer']
What can severe pain in the right side of the belly button indicate?,0.6266217231750488,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Sickle cells are characteristic from which kind of disease?,0.45231297612190247,['Directed question that has a single unambiguous answer']
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.60732501745224,['Question that describes a hypothetical scenario and asks a question based on this scenario']
How can we treat infection caused by Neisseria gonorrhoeae?,0.5946151614189148,['Directed question that has a single unambiguous answer']
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",0.5536289811134338,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",0.6541017889976501,['Advice or suggestions on how to approach a problem']
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.6395859718322754,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']"
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.6314279437065125,['Directed question that has a single unambiguous answer']
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",0.6439187526702881,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,0.5909725427627563,['Summarization of information on a topic']
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",0.5507225394248962,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What are the common approaches to coping with periods of acute dis-regulation?,0.5944604873657227,['Advice or suggestions on how to approach a problem']
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.6447194814682007,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Teach me PCR in three sentences.,0.7153465151786804,['Summarization of information on a topic']
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.5492994785308838,['Open-ended question that is potentially ambiguous']
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",0.6520690321922302,['Question that describes a hypothetical scenario and asks a question based on this scenario']
Should we inform patients that homeopathic medicines don't work?,0.6115239262580872,['Directed question that has a single unambiguous answer']
Why we do not check exact ingredients of dietary supplements?,0.6718479990959167,['Open-ended question that is potentially ambiguous']
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,0.5782033801078796,['Question that describes a hypothetical scenario and asks a question based on this scenario']
When would you start antibiotic in a acute pharingitis?,0.5832863450050354,['Advice or suggestions on how to approach a problem']
What is the first radiological sign of fetal death?,0.5427016019821167,['Directed question that has a single unambiguous answer']
What is the initial treatment for anal fissures?,0.6916338205337524,['Summarization of information on a topic']
"A patient who is a smoker has a lesion on his mouth that causes pain, could it be a carcinoma?",0.6230987906455994,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What is the best anesthesia for diabetic patients?,0.5230349898338318,['Directed question that has a single unambiguous answer']
How does smoking affect periodontal disease?,0.6168066263198853,['Open-ended question that is potentially ambiguous']
How can a clinician confirm that a patient with a headache has subarachnoid hemorrhage ?,0.7067673802375793,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
When does a chronic lympocytic leukemia transform to a diffuse large b cell lymphoma?,0.5604954361915588,['Open-ended question that is potentially ambiguous']
A 30 year old primigravid pregnant woman walks into the clinic complaining of intense contractions that last. How can a physician differentiate between true onset of labour and braxton hicks contractions?,0.6460508704185486,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What are the most common translocations associated with chronic myeloid leukemia? ,0.5877953767776489,['Directed question that has a single unambiguous answer']
My child has been having easy bruising and fatigue for the past 6 months. Recently his labs came back and his total lymphocyte count was elevated. The diagnosis given to me by the doctor was acute lymphoblastic leukemia. What is it and what is the prognosis? ? ,0.6878840327262878,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"Give that I'm 23 years old, smoking 12 cigarettes daily for the past three years, with history of dyslipidemia, which types of cancer am I most prone to get? ",0.6316153407096863,['Question that describes a hypothetical scenario and asks a question based on this scenario']
What are signs of a patient experiencing sepsis?,0.5867657661437988,['Summarization of information on a topic']
"If a patient comes in having shortness of breath, what are potential treatment options?",0.6157972812652588,['Open-ended question that is potentially ambiguous']
"A patient comes in with shortness of breath and pulmonary oedema, what are the differental diagonosis?",0.5298489332199097,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"How can we classify studies conducted by transgender people? As the gender they define themselves as or as a separate category, transgender people?",0.5267524123191833,['Open-ended question that is potentially ambiguous']
"A patient with early dementia. This person is being given all possible care and is living a happy life surrounded by family members who are helping him through the process. The problem is that the patient has made a provision in his living will that if at any time his dementia becomes limiting, he will request euthanasia. That moment will come, but this person is happy now. Should the decision he made when he was mentally fit be applied, or, taking into account that he is happy, should he be allowed to live longer?",0.6428945660591125,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"A person who does not like working with people but is passionate about medicine. Knowing that he/she will not be happy practicing, is it worthwhile for him/her to finish such a difficult career just for vocation? ",0.6231704354286194,['Open-ended question that is potentially ambiguous']
"A patient receiving treatment including cisplatin, paclitaxel, and pembrolizumab develops worsening shortness of breath one week after her third dose of treatment. What possible problems could she have developed and what should studies should be included in her initial workup?",0.5921290516853333,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
What is the impact of consultation duration in efficacy of health results obtained in the long term? Where can I find more information to help me gauge the impact of the amount of time spent with the patient in each consultation?,0.5661169290542603,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']"
"When a patient is started on biologic medications, it is important to rule out latent infections like tuberculosis, and complete certain vaccination schemes. Can you compile which of these attitudes are recommended for each different biologic treatment used in rheumatology?",0.4506467282772064,['Summarization of information on a topic']
"In a 55 year-old patient whose cardiovascular risk factors are dislipidemia (assume a c-LDL of 150 mg/dL) and smoking (assume 20 cigarettes/day, for 20 years), if you could only choose one, which of the following would have a greater impact in reducing cardiovascular risk: smoking cessation, or starting atorvastatin 20 mg, once daily?",0.5016924142837524,['Directed question that has a single unambiguous answer']
How often should I brush and floss my teeth?,0.5938510894775391,['Open-ended question that is potentially ambiguous']
Should you put bond when you do fissure sealants?,0.6309370398521423,['Directed question that has a single unambiguous answer']
Should you extract third molars prolifically?,0.6137768626213074,['Open-ended question that is potentially ambiguous']
Which PPI should not be given with clopidogrel?,0.5657761096954346,['Directed question that has a single unambiguous answer']
When someone takes warfarin what are the vegetables that should be avoided?,0.7548300623893738,['Open-ended question that is potentially ambiguous']
What are the side effects of ACEIs?,0.6540290713310242,['Summarization of information on a topic']
Does the medical field require one to be consumed by drugs rather than holistic medicines?,0.6214293837547302,['Open-ended question that is potentially ambiguous']
Do you think cognitive behavioural therapy can work for psychosis?,0.6229556202888489,['Request for opinion on a topic']
How do you adapt cognitive stimulation therapy for individuals with a learning disability?,0.624295175075531,['Advice or suggestions on how to approach a problem']
Which books are the best for child and youth psychiatry?,0.6315138339996338,['Request for a list of resources where one can find more information']
What is known about the switch that occurs between patients with latent HIV and active infection?,0.5829052329063416,['Summarization of information on a topic']
What has caused the recent stock problems in HRT?,0.5578563213348389,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
How long will it take for a child to speak with therapy?,0.6699733734130859,['Open-ended question that is potentially ambiguous']
What would be the best methodological approach to study microRNAs as therapeutic targets in HIV patients?,0.6413402557373047,['Advice or suggestions on how to approach a problem']
Why do people look down on healthcare workers?,0.6431162357330322,['Open-ended question that is potentially ambiguous']
What's the best treatment for fibromyalgia?,0.7224674224853516,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem', 'Request for a list of resources where one can find more information']"
What is the mechanism of action of the drug warfarin and how does it interact with other medications?,0.5949044227600098,['Summarization of information on a topic']
What is your opinion on euthanasia?,0.5741563439369202,['Request for opinion on a topic']
What are some early detection methods for Glomus tympanum?,0.6202494502067566,['Directed question that has a single unambiguous answer']
What the exact differences are between the male and the female brain?,0.6029017567634583,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']"
A person who has been unemployed for 20 years due to mental health problems would like to get a job. What support might you offer?,0.6136477589607239,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"What are the differential diagnosis for a patient who presents with fever, respiratory distress and high blood pressure?",0.6416187286376953,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
Which options for therapy are there for ADHD in children?,0.6313873529434204,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
How can you manage your patient expectations?,0.5683407187461853,['Open-ended question that is potentially ambiguous']
What cardiac condition affects neonates born to diabetic mothers?,0.5791613459587097,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']"
What is known about DNA methylation profiles in patients with latent HIV-1 or with an active infection?,0.5440152287483215,['Summarization of information on a topic']
Does foot ulcer need a diet change rather than using iodine based medicines for it?,0.6474524736404419,['Request for a list of resources where one can find more information']
A patient presents to your clinic with a first episode psychosis. What are the NICE recommended treatments for this issue?,0.5948302745819092,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
How would you deal with a potentially abusive coworker?,0.5254780054092407,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"In the context of immune related blistering skin disorders, what are the potential causes for a false positive skin antibody on a blood test?",0.6786966919898987,['Open-ended question that is potentially ambiguous']
What are the most effective therapeutic interventions for treating depression?,0.7414121627807617,['Open-ended question that is potentially ambiguous']
How do you approach a doctor as a nurse if you think he administered a wrong medication for the symptoms of the patient? ,0.5874221324920654,['Request for opinion on a topic']
How do I explain the difference between a language disorder and a language delay?,0.5898973345756531,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
"In status epilepticus after 1st and 2nd line treatment with benzodiazepines, should I load the patient with phenytoin or levetiracetam?",0.4569025933742523,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem']"
Can nurses in Italy prescribe and administer low-risk drugs?,0.5816226601600647,['Directed question that has a single unambiguous answer']
What are the risks from a brucella culture within pathology lab?,0.6052852272987366,['Directed question that has a single unambiguous answer']
Compare behavioral testing to OAE or tympanometry in children.,0.6707859635353088,['Open-ended question that is potentially ambiguous']
What are the symptoms of sepsis?,0.5856823325157166,['Summarization of information on a topic']
What are the outcomes of using hyaluronidase?,0.5718485713005066,['Summarization of information on a topic']
A mother presents to my clinic wishing to know whether taking the pertussis vaccine during pregnancy will in anyway minimize her unborn child's chances of being hospitalized with pertussis. What is the efficacy of the maternal pertussis vaccine in infant hospitalization?,0.6029785871505737,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']"
How will the NHS england directed TA for covid medication and prescribing affect primary care in England?,0.4850074350833893,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']"
What are the differences between the different birth control devices that actually exist?,0.5916571021080017,['Open-ended question that is potentially ambiguous']
How to give the news of the death of a patient to his close relative?,0.4116678535938263,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']"
Can you summarize the krebs cycle?,0.7130212783813477,['Summarization of information on a topic']
How do I assess competence for decision making in a child in a child who is too young to apply the Mental Capacity Act?,0.5954992771148682,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']"
Are there side effects to the use of botox?,0.6505914330482483,['Advice or suggestions on how to approach a problem']
What kind of impact does social media have on patients with anorexia?,0.5735669136047363,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']"
How do you deal with a patient who is sick but has no pointed symptoms and no health record?,0.6102511286735535,['Open-ended question that is potentially ambiguous']
Describes Hodge's blueprints.,0.5110014081001282,['Summarization of information on a topic']
What is the best way to store my medication to ensure its potency and safety?,0.6507471203804016,['Question that describes a hypothetical scenario and asks a question based on this scenario']
"When providing intrapartum care, a midwife can prescribe appropriate pain relief. True or false?",0.6631287932395935,['Directed question that has a single unambiguous answer']
How would you do treat a psychotic crisis?,0.5999729633331299,['Open-ended question that is potentially ambiguous']
"A nine year old girl with severe ADHD has already tried all drugs that are allowed for children. None of them was sucessful. There was no benefit from the drugs, but many negative side effects from on just a little dose. What else can I try, if an ADHD patient isn't responding to any drug?",0.5843445658683777,['Question that describes a hypothetical scenario and asks a question based on this scenario']
