Question,Smooth_Bleu_Score
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.11696087581493812
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.004876058842232131
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.08885408289246806
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.07290841016546676
What sign is observed in the barium esophagram in patients with achalasia?,0.15250681907207134
What are the cardinal symptoms of laryngotracheitis?,0.11029650752340714
What is the contraception method of election when a woman can't take estrogen?,0.0509477759923455
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.03438543590483551
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.0029729248879586086
"During a squat, if the knees fall inwards which muscle are weak?",0.15067042021791485
If a patient's X ray has dark spots on the chest what does it mean?,0.005943201812936849
Describe treatment methods of congenital Talipes equinovarus.,0.047070751324019666
What are the most common injuries in childhood among Hispanic families?,0.06844298021578367
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.02146425925378345
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.053509658836738694
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.14846392828893068
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.14349621296100973
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.07836717118151179
What kind of advice can I give to a parent with a child with vocal nodules?,0.015269635173074482
What classroom strategies are there for DLD?,0.032302302919355784
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.05246922772831941
What is the diagnostic criteria for Anorexia Nervosa?,0.38187462177782977
What is the evidence base for CBT for depression?,0.04564359483353246
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.0229068367396705
What is the condition that is associated with Carhartt’s Notch?,0.02475909129714249
What are the two types of hearing loss?,0.05041373157499416
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.012081658595832259
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.09341824533272283
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.009550058720221365
What is the treatment for blood vessel clogging?,0.07690902772919869
What do you think the future of image guided therapy is?,0.016952039995926066
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.05547697636698595
What is the first step to do in a patient with a VF?,0.12116444151771827
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.16077468841106068
How to treat a patient with 80% of his body with 3rd grade burnings?,0.0057111851232619385
A patient is allergic to the only medication suitable for curing them. What do you do?,0.02472324469462732
Do toxic chemicals become more or less toxic when they expire?,0.07789965120006817
What is the interaction between Anaerobyl and Alcohol on the human system?,0.08191097880200136
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.07811883291081083
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.03738789624661232
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.07449511578912246
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.040128660698489735
How can we reduce patient surgery backlog in Canada?,0.005050547993507537
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.052433973411095874
Is it possible to compound intrathecal methotrexat?,0.030727227409800252
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",0.1575631045092471
What's the best treatment option for an asthma crisis on a pediatric patient?,0.09782461887584094
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.20223761534232174
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,0.06866150128410556
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,0.059174995979377226
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.11940879838175911
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.10504094746922867
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.06605097353187374
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",0.1512092227397714
What legislation underpins assessment of children with disabilities for social care support?,0.0981827019986075
How should I engage with a non-verbal child to gather their views?,0.06191914122856281
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.07404506593892918
Should expectorant or antitussive syrup be recommended for a wet cough?,0.08980067567807426
What can severe pain in the right side of the belly button indicate?,0.13146659343303407
Sickle cells are characteristic from which kind of disease?,0.001765524474114285
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.016665773929083673
How can we treat infection caused by Neisseria gonorrhoeae?,0.08414716096520028
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",0.018378315969763484
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",0.0770464285319969
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.053796609980025493
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.13279712580158812
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",0.12163938233506008
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,0.022284432608399674
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",0.019546275598990675
What are the common approaches to coping with periods of acute dis-regulation?,0.04860508368188772
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.03872452416894738
Teach me PCR in three sentences.,0.10110535136574157
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.016293979188121258
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",0.03131190331291537
Should we inform patients that homeopathic medicines don't work?,0.05394215996908884
Why we do not check exact ingredients of dietary supplements?,0.03934318239043826
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,0.03429129529406103
When would you start antibiotic in a acute pharingitis?,0.037968400160443894
What is the first radiological sign of fetal death?,0.015359514290444323
What is the initial treatment for anal fissures?,0.07846353089372664
"A patient who is a smoker has a lesion on his mouth that causes pain, could it be a carcinoma?",0.025054831226486596
What is the best anesthesia for diabetic patients?,0.024717759083120516
How does smoking affect periodontal disease?,0.04103001059291992
How can a clinician confirm that a patient with a headache has subarachnoid hemorrhage ?,0.0022023593548660065
When does a chronic lympocytic leukemia transform to a diffuse large b cell lymphoma?,0.0592932953128403
A 30 year old primigravid pregnant woman walks into the clinic complaining of intense contractions that last. How can a physician differentiate between true onset of labour and braxton hicks contractions?,0.10376514913883475
What are the most common translocations associated with chronic myeloid leukemia? ,0.27580861923981453
My child has been having easy bruising and fatigue for the past 6 months. Recently his labs came back and his total lymphocyte count was elevated. The diagnosis given to me by the doctor was acute lymphoblastic leukemia. What is it and what is the prognosis? ? ,0.09766702116753084
"Give that I'm 23 years old, smoking 12 cigarettes daily for the past three years, with history of dyslipidemia, which types of cancer am I most prone to get? ",0.022499608849882956
What are signs of a patient experiencing sepsis?,0.008092421479629856
"If a patient comes in having shortness of breath, what are potential treatment options?",0.016420949069963834
"A patient comes in with shortness of breath and pulmonary oedema, what are the differental diagonosis?",0.04205403277192353
"How can we classify studies conducted by transgender people? As the gender they define themselves as or as a separate category, transgender people?",0.049009854973274924
"A patient with early dementia. This person is being given all possible care and is living a happy life surrounded by family members who are helping him through the process. The problem is that the patient has made a provision in his living will that if at any time his dementia becomes limiting, he will request euthanasia. That moment will come, but this person is happy now. Should the decision he made when he was mentally fit be applied, or, taking into account that he is happy, should he be allowed to live longer?",0.05513901090404721
"A person who does not like working with people but is passionate about medicine. Knowing that he/she will not be happy practicing, is it worthwhile for him/her to finish such a difficult career just for vocation? ",0.057476036411902624
"A patient receiving treatment including cisplatin, paclitaxel, and pembrolizumab develops worsening shortness of breath one week after her third dose of treatment. What possible problems could she have developed and what should studies should be included in her initial workup?",0.04777640821969855
What is the impact of consultation duration in efficacy of health results obtained in the long term? Where can I find more information to help me gauge the impact of the amount of time spent with the patient in each consultation?,0.010346003844536648
"When a patient is started on biologic medications, it is important to rule out latent infections like tuberculosis, and complete certain vaccination schemes. Can you compile which of these attitudes are recommended for each different biologic treatment used in rheumatology?",0.013507032801934323
"In a 55 year-old patient whose cardiovascular risk factors are dislipidemia (assume a c-LDL of 150 mg/dL) and smoking (assume 20 cigarettes/day, for 20 years), if you could only choose one, which of the following would have a greater impact in reducing cardiovascular risk: smoking cessation, or starting atorvastatin 20 mg, once daily?",0.06570449616882902
How often should I brush and floss my teeth?,0.19146803435302426
Should you put bond when you do fissure sealants?,0.03178504861290187
Should you extract third molars prolifically?,0.046728353098725445
Which PPI should not be given with clopidogrel?,0.07454259819046603
When someone takes warfarin what are the vegetables that should be avoided?,0.08425050162980721
What are the side effects of ACEIs?,0.07639569266980385
Does the medical field require one to be consumed by drugs rather than holistic medicines?,0.16824063096107686
Do you think cognitive behavioural therapy can work for psychosis?,0.06351460878083463
How do you adapt cognitive stimulation therapy for individuals with a learning disability?,0.09394917805435725
Which books are the best for child and youth psychiatry?,0.11556752166686862
What is known about the switch that occurs between patients with latent HIV and active infection?,0.04169828966125751
What has caused the recent stock problems in HRT?,0.06173580396320572
How long will it take for a child to speak with therapy?,0.1697632016420172
What would be the best methodological approach to study microRNAs as therapeutic targets in HIV patients?,0.072610960890276
Why do people look down on healthcare workers?,0.06624334237300017
What's the best treatment for fibromyalgia?,0.1787621648697473
What is the mechanism of action of the drug warfarin and how does it interact with other medications?,0.006135681661849139
What is your opinion on euthanasia?,0.08785583513041302
What are some early detection methods for Glomus tympanum?,0.03096986985287176
What the exact differences are between the male and the female brain?,0.09687655719545026
A person who has been unemployed for 20 years due to mental health problems would like to get a job. What support might you offer?,0.034245109386048495
"What are the differential diagnosis for a patient who presents with fever, respiratory distress and high blood pressure?",0.079281642621214
Which options for therapy are there for ADHD in children?,0.05976157207442713
How can you manage your patient expectations?,0.015681704054245762
What cardiac condition affects neonates born to diabetic mothers?,0.06206394052125164
What is known about DNA methylation profiles in patients with latent HIV-1 or with an active infection?,0.008657257628827155
Does foot ulcer need a diet change rather than using iodine based medicines for it?,0.04895121085817407
A patient presents to your clinic with a first episode psychosis. What are the NICE recommended treatments for this issue?,0.13232883551128666
How would you deal with a potentially abusive coworker?,0.006440503677039285
"In the context of immune related blistering skin disorders, what are the potential causes for a false positive skin antibody on a blood test?",0.12207138622867279
What are the most effective therapeutic interventions for treating depression?,0.12375842209645388
How do you approach a doctor as a nurse if you think he administered a wrong medication for the symptoms of the patient? ,0.031032141111893043
How do I explain the difference between a language disorder and a language delay?,0.0235172039680431
"In status epilepticus after 1st and 2nd line treatment with benzodiazepines, should I load the patient with phenytoin or levetiracetam?",0.011986313456902827
Can nurses in Italy prescribe and administer low-risk drugs?,0.018037278240614598
What are the risks from a brucella culture within pathology lab?,0.009706320882084429
Compare behavioral testing to OAE or tympanometry in children.,0.08553744128929817
What are the symptoms of sepsis?,0.031185772768850248
What are the outcomes of using hyaluronidase?,0.010108773913277145
A mother presents to my clinic wishing to know whether taking the pertussis vaccine during pregnancy will in anyway minimize her unborn child's chances of being hospitalized with pertussis. What is the efficacy of the maternal pertussis vaccine in infant hospitalization?,0.057054018446367906
How will the NHS england directed TA for covid medication and prescribing affect primary care in England?,0.004036325375885045
What are the differences between the different birth control devices that actually exist?,0.026763165682463348
How to give the news of the death of a patient to his close relative?,0.016033378850348258
Can you summarize the krebs cycle?,0.17503083821340973
How do I assess competence for decision making in a child in a child who is too young to apply the Mental Capacity Act?,0.08702334024767162
Are there side effects to the use of botox?,0.08893250389961792
What kind of impact does social media have on patients with anorexia?,0.04668905287686824
How do you deal with a patient who is sick but has no pointed symptoms and no health record?,0.1153971512238256
Describes Hodge's blueprints.,0.0036368254265146233
What is the best way to store my medication to ensure its potency and safety?,0.16068977352873262
"When providing intrapartum care, a midwife can prescribe appropriate pain relief. True or false?",0.003593400513595791
How would you do treat a psychotic crisis?,0.009579184546769431
"A nine year old girl with severe ADHD has already tried all drugs that are allowed for children. None of them was sucessful. There was no benefit from the drugs, but many negative side effects from on just a little dose. What else can I try, if an ADHD patient isn't responding to any drug?",0.005430650729777767
What is the treatment for grade 2 prostate carcinoma?,0.06837960882926145
Is the difference in duties and responsibilities between nurses working in different states justifiable?,0.12258893001781491
What is the prozone error and how does it affect the blood test?,0.08384855202645464
What are the symptoms of a myocardial infarction?,0.10078056425081205
Is one's sphingolipid mileu a factor in psoriasis?,0.08514616331988933
Why do some patients respond to one CGRP antagonist well but not another from the same medication class?,0.017519450040108235
What is the difference between the migraine CGRP antagonists? ,0.006530978217436989
"If I have a patient who has chronic migraine and has failed all the available prophylactics' medications, what do I do?",0.08931949801571322
What are the symptoms of an abdominal aortic aneurysm?,0.09640291607448935
Do the medicines used for diabetes foot ulcer work?,0.019299002167254962
What is the ICD-10 classification of severe depression without psychotic symptoms?,0.4546697236991713
How many cardiology subspecialties are there?,0.04294222675691397
Can you tell me what is the best way to get an informed consent?,0.0647847850769607
"Gestational diabetes is a complex medical condition which can present in many ways during pregnancies, what makes an individual more likely to develop this in pregnancy?",0.09475008298442555
Which symptoms describes an autistic disorder?,0.04710498799705857
How would you promote dignity and respect in care?,0.0106444903220012
How do you manage a desmoplastic blue naevus?,0.056379056732573464
Who should a patient be referred to if a bloodwork shows high protein levels in the blood?,0.0865456585478397
What is the best diet for general longevity?,0.087684609979297
Why is the category of nurses in Italy little recognized unlike doctors?,0.035098621000203147
At which gestation is the Nuchal screening offered routinely?,0.06668493248636373
Can an adhesive capsulitis develop from an osteoarthritic shoulder?,0.00028322746204492537
Why are left-handed people stronger using their right hand?,0.05990183007339882
Is metamizol superior than other medications in treating osteoarthicular pain?,0.0048863901144413115
"I'm a 60 year old patient, with hypertension and obesity. How low should my LDL be?",0.19715841879238144
What is the reliability of ABR testing for testing toxicity?,0.024904121014955417
What is the recommended medication to prescribe for a first episode of psychosis?,0.23515798861958673
"How do you decide who to put in extra care or try to save, if you are under staffed and 3 people walk in with different injuries, a 10 year old with a head injury, 45 year old women bleeding internal and a 70 year old man with a broken hip?",0.061299642630733175
What level of insurance should pharmacists working in prinary care get if they are not prescribers?,0.027622796909555537
What is the average salary for a biochemist in NYC?,0.2890326277064515
How would you be sure to provide discretion and adhere to dpi guidelines?,0.021820861287190973
What is the difference between a drug's pharmacokinetics and pharmacodynamics?,0.04274856202366923
"A patient has presented with low mood, insomnia and anhedonia. Upon assessment they disclose other periods of heightened mood, impulsivity and reduced inhibitions.What are the possible diagnoses? ",0.12382965441537824
What would be the symptoms for an urinary tract infection?,0.08141278760422987
Should I use the AVUK strategies with my deaf patient?,0.06515613732845944
What are the differences between Acute myeloid leukemia and Chronic myeloid leukemia?,0.06515069568307945
What are the differences between professions about patients returning as volunteers?,0.038294793892541264
How do you tell the difference between adhesive capsulitis and an osteoarthritic shoulder?,0.013129260008896125
Is rorshach test a good IQ measurement?,0.14548894260629883
What is the diagnosis? A patient was presented with the rush and their blood was grossly haemolysed.,0.04319884095503175
Can we ever eliminate all mental illness?,0.10858060722790465
Please provide an approach to the management of a convulsing child.,0.05873785417373766
What is the best type of epidemiological study to assess the causal association between a risk factor and a given disease?,0.04017999116269659
Is cancer curable?,0.02438844415820771
What criteria would you use to ensure safe discharge of a child with bronchiolitis?,0.009256941312295354
"A 37-year old woman who lives alone has rheumatoid arthritis, affecting her grip. What meaningful activities might this impact and how could they be adapted?",0.027119217297198916
What are the risks of inserting a nasogastric tube during a night shift?,0.030238220161894848
What is the best biological agent for treatment of hidradenitis suppurativa having failed adalimumab?,0.03969844471289612
"An 80-year-old man is admitted for a sudden episode of aphasia and right hemiparesis. As antecedents, hypertension stands out, well controlled with diet and cognitive deterioration in the last year under study by his neurologist. Emergency head CT showed a left frontal lobar hematoma without contrast enhancement. What is the most likely cause of the bruise?",0.11387072289697898
How can you find out if a person has childhood traumas?,0.036809456637158774
Why some bacteria could cause deadly infections in some people while others can recover quickly?,0.042231969332267305
What could be the possible cause of dementia?,0.14487749795786314
"Motor symptoms in Parkinson's disease predominate and define this entity. However, the symptoms in other spheres are sometimes very relevant and are called by the general name of ""Non-motor manifestations of Parkinson's disease"". Which of the following is considered a non-motor symptom of Parkinson's disease?",0
What percentage of Pseudomonas aeruginosa strains do not confer natural resistance to kanamycin?,0.31569611706824424
Tell me about the mechanisms of graft versus host disease (GVHD) in bone marrow transplant patients.,0.08670281738257506
Is a microprocessor controlled foot worth it?,0.04851852584212007
What is the most efficient way to handle local falls pathways? ,0.07177649618051701
Can we give paracetamol to a cat?,0.02634849504811973
Why do some antibiotic-resistance genes in bacteria also involved in metabolic metabolisms?,0.1369322639163045
What are the potential benefits and risks of using stem cells to treat haematological disorders?,0.0669546029885554
What is the best most varied option for elective placement? ,0.05458607715941969
What is the perfect solution for an unhealthy family life? ,0.07975718150906888
How can I support caring for those experiencing malnutrition in the community? ,0.02740159491407909
Can you please provide a list of appropriate resources showing best practice in treatment of anxiety?,0.041970866676535656
"A 40-year-old woman who consulted for approximately 20 episodes a day of intense, left periocular pain lasting 15 minutes, accompanied by intense tearing and runny nose. His scan and MRI are normal. What treatment of choice would it be?",0.010367147016863714
What is the best material for insoles?,0.04310846800479364
Can a diabetic person take medical products with any kind of sucrose?,0.18762722812345298
What should be the first response to an epilectic seizure?,0.19495130193864704
Can low mobility amputeed benefit from a microprocessor controled knee?,0.19400038114198614
Why should we give fludarabine and cytarabine 4 hours apart when giving these chemotherapy drugs to a patient?,0.06887293629856694
Do I need to fast to have a CT scan? And how about a MRI scan?,0.00345005364636679
Why do pregnant women often suffer from iron deficiency?,0.10287055456085248
What is the physiopathology of asthma? ,0.10623260963908485
"What processes need to take place after a suspicious death of a patient who is a recovering heroin addict, where suicide is suspected?",0.03278248284500756
Short right hand and short right leg of newborn and having one kidney at the time of birth what will be the root of this problem?,0.0870551033068157
How effective is cognitive behaviour therapy in the treatment of recovering opiate addicts?,0.0899240797091054
Why does the T wave on the EKG is a positive wave if it represents the repolarization of the ventricles?,0.2129716450855693
What are the intervention strategies to recommend for people with hypertension?,0.04250895625719355
A female patient presents in the ER with pain in the leg and trouble breathing. The patient had a 7-hour flight in the previous day. What is the most recommended course of action here?,0.0888336817798473
What would be the best way to address a case of eating behavior disorder in the medical consultation?,0.09749723823277168
"Dates can cure diabetes, then why do they also increase the blood sugar level? ",0.19362328738199336
"Where can a client go for help if they find themselves addicted to crack cocaine, are being physically abused by their dealer and have recently become homeless?",0.07992496780533379
What is the time to detect a tromboembolism in CT scan after contrast injection?,0.10732334438842
"DNA diseases in newborns are increasing, what could be the cause of it? ",0.09006424534243776
"In the mexican labour law, what is the maximum level of alcohol allowed a person can have in the blood while working?",0.011972674556943012
Where can I find more information about asthma treatment?,0.2387288966019143
"A male, 30 years-old, referred to the ER after his oncologist noted a rash that appeared three months after the patient started chemotherapy for colon cancer. The patient has a rash that is painful and on the right side of the thorax. What is the most likely diagnosis?",0.18678220168276988
What information is currently available on the prognosis of angiosarcomas?,0.022324418500242648
When does it changes from being a Stevens Johnson's Syndrome to a toxic epidermal necrolysis?,0.17180134149941342
"A patient with community-acquired pneumonia, without any alarm signs, CURB-65 of 0. He refers he has had an allergic reaction to penicillin and macrolids in the past. What are the available options for antibiotherapy in this patient?",0.12645942461325035
What is the treatment for a perianal abscess?,0.1040745826226851
At what age kids can make a three block tower? ,0.008217174698420203
"In mexico, what is the official definition of a disability (discapacity)?",0.2908317862324571
"My company, located in Coahuila,  Mexico has 3 processesthat cause emissions to atmosphere. Can I direct those emissions in 1 single chimney or do I need 3 chimneys? What does the law requires?",0.01879836533005844
Do you think metformin causes a vitamin B deficiency?,0.15368456535978783
What is the difference between concomitant medication and past drugs?,0.08413954815392233
Does pulsed fluoroscopy has more radiation than continuous fluoroscopy?,0.02103896934461445
What kind of endpoints are preffered in phase 3 of a clinical trial?,0.12327499377952394
Can you estimate the impact of switching elderly patients to a drug classified by STOPP criteria?,0.0771368675366977
Where can I learn about the etiology of high blood preassure on the majority of the cases?,0.26089363690364464
What are the possible causes of pleural effusion in a 56yo patient?,0.059141645070371715
How does medications affect the absorption and availability of nutrients in the human body?,0.10832191277284624
What is the mechanism in what tacrolimus acts? ,0.03291552650306723
"In the case of active pyoderma gangrenosum and associated active myeloma with pancytopenia, what approaches could you take when treating? Would there be any benefit in treating one before the other?",0.13713643078182186
What are the lessons we could learn from the different ways hospitals globally mitigated the inpatient spread of Covid 19? Could you summarise the available literature?,0.07855669578888196
Why would a 26 year old female have chronically low cortisol despite already having a cortisol infusion running?,0.07741675529451543
"Suppose a patient is complaining of foul smelling vaginal discharge and burning urination, what is the patient suffering from?",0.14677103373037764
What are the different ways to protect oneself from getting infected with the Covid-19 vaccine?,0.060450510585615874
What do you think about teenage pregnancy?,0.043512788007804615
How much blood is inside a human body?,0.04484194677708279
A family walks in a hospital with different symptoms claiming to suspect TB because of living conditions. What is the first response as the medical team?,0.01858053799181318
"With the brain mainly known for its function as to think, what does the brain do besides think?",0.09342220866081881
When would you advise a patient for bypass instead of stenting and medical therapy?,0.216582949475174
Define the reasons an exercise stress test would be beneficial to a patient post PCI.,0.11290528477365433
What are the benefits of using myocardial perfusion imaging prior to angio?,0.058983548456410094
Where can I get detailed protocols for microRNA analysis?,0.03425635667385213
MicroRNAs are fairly new with a lot of conflicting findings reported across studies. What is the clinical feasibility of adopting microRNAs as biomarkers for disease diagnosis and prognosis?,0.08022330217850177
What are common causes of iron deficiency?,0.10793737189782596
What are the first rank symptoms of schizophrenia?,0.06949507414199947
"A 65 year old patient with severe depression becomes mute. Their oral intake and functioning deteriorates markedly, and their depression appears to be treatment resistant. What treatment would you recommend in this scenario?",0.036120706256754447
"A 25 year old male is 6 months into their recovery journey post-psychotic episode. They are lethargic and motivated, and appear to be presenting with negative symptoms of psychosis. What treatment would you recommend in this instance?",0.053512369039483365
How do bacterial infection predispose one to cancers?,0.01851535508862233
