question,Smooth_Bleu_Score,question_types,specific_field
What is the sexually transmitted disease HPV?,0.0610560127579321,['Summarization of information on a topic'],Chemistry in the clinical area
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.0601984349586085,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Chemistry in the clinical area
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.0313283923130017,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Chemistry in the clinical area
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.05356779886875,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']",Clinical Research
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.0123115528314091,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Research
What are the most encountered barriers in clinical research related to Bioethics?,0.04706287784978,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",Clinical Research
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.107587069011235,['Directed question that has a single unambiguous answer'],Virology
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.0067165238779846,['Request for a list of resources where one can find more information'],Virology
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.1059458197137313,['Directed question that has a single unambiguous answer'],Virology
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.2155756791579325,['Open-ended question that is potentially ambiguous'],General Medicine 
What sign is observed in the barium esophagram in patients with achalasia?,0.1022695823705353,['Directed question that has a single unambiguous answer'],General Medicine 
What are the cardinal symptoms of laryngotracheitis?,0.0466068941977513,['Summarization of information on a topic'],General Medicine 
What is the contraception method of election when a woman can't take estrogen?,0.062239856178827,['Open-ended question that is potentially ambiguous'],General medicine 
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.0031417596289969,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General medicine 
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.003535423429129,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General medicine 
"During a squat, if the knees fall inwards which muscle are weak?",0.0459901556850265,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Orthopedics and Physiotherapist
If a patient's X ray has dark spots on the chest what does it mean?,0.0127367588566087,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Orthopedics and Physiotherapist
Describe treatment methods of congenital Talipes equinovarus.,0.0662659281874959,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",Orthopedics and Physiotherapist
What are the most common injuries in childhood among Hispanic families?,0.0641435277893788,['Open-ended question that is potentially ambiguous'],Medical Primary Care 
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.096501242149734,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Medical Primary Care 
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.0259043799172221,['Advice or suggestions on how to approach a problem'],Medical Primary Care 
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.0733320164474678,['Directed question that has a single unambiguous answer'],Surgeon
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.1620600927133058,['Directed question that has a single unambiguous answer'],Surgeon
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.0007782497580955,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Surgeon
What kind of advice can I give to a parent with a child with vocal nodules?,0.0852474465079157,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Speech and Language Therapy
What classroom strategies are there for DLD?,0.0332108886370239,['Advice or suggestions on how to approach a problem'],Speech and Language Therapy
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.0415970967131893,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Speech and Language Therapy
What is the diagnostic criteria for Anorexia Nervosa?,0.0991412567359667,['Directed question that has a single unambiguous answer'],Clinical Psychology
What is the evidence base for CBT for depression?,0.0823289714454865,['Summarization of information on a topic'],Clinical Psychology
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.0412710475691392,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Psychology
What is the condition that is associated with Carhartt’s Notch?,0.002938509283816,['Directed question that has a single unambiguous answer'],Audiology
What are the two types of hearing loss?,0.2571793522294265,['Directed question that has a single unambiguous answer'],Audiology
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.013275336256654,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Audiology
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.1192339184635464,['Open-ended question that is potentially ambiguous'],Physical Medicine and Rehabilitation also COVID patients
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.0216310200926712,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Physical Medicine and Rehabilitation also COVID patients
What is the treatment for blood vessel clogging?,0.0930203580957199,['Directed question that has a single unambiguous answer'],Image guided therapy 
What do you think the future of image guided therapy is?,0.0389869366528741,['Request for opinion on a topic'],Image guided therapy 
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.0699020339632195,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Image guided therapy 
What is the first step to do in a patient with a VF?,0.1298729387054973,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Doctor of Medicine
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.0929770489846948,['Open-ended question that is potentially ambiguous'],Doctor of Medicine
How to treat a patient with 80% of his body with 3rd grade burnings?,0.0454193835510006,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Doctor of Medicine
A patient is allergic to the only medication suitable for curing them. What do you do?,0.0125338655517314,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Dispensery
Do toxic chemicals become more or less toxic when they expire?,0.0592151389083057,['Open-ended question that is potentially ambiguous'],Dispensery
What is the interaction between Anaerobyl and Alcohol on the human system?,0.051479157290599,['Directed question that has a single unambiguous answer'],Dispensery
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.0513051697880994,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General medical
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.0238352359393483,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",General medical
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.1642127619717366,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']",General medicine
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.0499962545834999,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']",Family medicine 
How can we reduce patient surgery backlog in Canada?,0.0685053684875435,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']",Family medicine 
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.0875249794722787,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Family medicine 
Is it possible to compound intrathecal methotrexat?,0.0503394007023674,"['Request for a list of resources where one can find more information', 'Request for opinion on a topic']",Oncology Pharmacist 
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",0.1384320004277482,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pediatrician
What's the best treatment option for an asthma crisis on a pediatric patient?,0.1689118171016493,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']",Pediatrician
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.1516359976656821,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pediatrician
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,0.0746982011405635,['Advice or suggestions on how to approach a problem'],Pharmaceutical industry
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,0.0629706702321232,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmaceutical industry
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.0303286513659135,['Open-ended question that is potentially ambiguous'],Pharmaceutical industry
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.2036219384041524,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Cardiology
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.0547963271950053,['Directed question that has a single unambiguous answer'],Cardiology
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",0.0588432001135746,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Cardiology
What legislation underpins assessment of children with disabilities for social care support?,0.0487804900896579,['Directed question that has a single unambiguous answer'],social worker
How should I engage with a non-verbal child to gather their views?,0.0562717863596285,['Advice or suggestions on how to approach a problem'],social worker
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.0947265962196646,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",Pharmacist
Should expectorant or antitussive syrup be recommended for a wet cough?,0.0752899823912373,['Directed question that has a single unambiguous answer'],Pharmacist
What can severe pain in the right side of the belly button indicate?,0.0686847735400938,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacist
Sickle cells are characteristic from which kind of disease?,0.0061786921461749,['Directed question that has a single unambiguous answer'],Clinical Laboratory
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.0566202135155559,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Laboratory
How can we treat infection caused by Neisseria gonorrhoeae?,0.0779051329603786,['Directed question that has a single unambiguous answer'],Clinical Laboratory
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",0.0411882451953576,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Neuroscience researcher
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",0.0968381105579083,['Advice or suggestions on how to approach a problem'],Neuroscience researcher
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.089181498159781,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']",Neuroscience researcher
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.0666604952556617,['Directed question that has a single unambiguous answer'],Pharmacy field
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",0.0804112395055211,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacy field
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,0.0423650922778349,['Summarization of information on a topic'],Pharmacy field
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",0.0133665397545159,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Psychotherapy
What are the common approaches to coping with periods of acute dis-regulation?,0.0879984606569902,['Advice or suggestions on how to approach a problem'],Psychotherapy
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.0499437527328415,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Psychotherapy
Teach me PCR in three sentences.,0.1677796095430995,['Summarization of information on a topic'],biomedical science
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.0255014555753636,['Open-ended question that is potentially ambiguous'],biomedical science
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",0.0955663453964913,['Question that describes a hypothetical scenario and asks a question based on this scenario'],biomedical science
Should we inform patients that homeopathic medicines don't work?,0.0560500961982867,['Directed question that has a single unambiguous answer'],Pharmacy
Why we do not check exact ingredients of dietary supplements?,0.113450474494176,['Open-ended question that is potentially ambiguous'],Pharmacy
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,0.0129201082372514,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacy
When would you start antibiotic in a acute pharingitis?,0.0208536757963996,['Advice or suggestions on how to approach a problem'],medical profesional based in family medicine
What is the first radiological sign of fetal death?,0.0143843964523455,['Directed question that has a single unambiguous answer'],medical profesional based in family medicine
What is the initial treatment for anal fissures?,0.1487986043963276,['Summarization of information on a topic'],medical profesional based in family medicine
"A patient who is a smoker has a lesion on his mouth that causes pain, could it be a carcinoma?",0.0217837161544257,['Question that describes a hypothetical scenario and asks a question based on this scenario'],dentist
What is the best anesthesia for diabetic patients?,0.0250429910904071,['Directed question that has a single unambiguous answer'],dentist
How does smoking affect periodontal disease?,0.0321189704991567,['Open-ended question that is potentially ambiguous'],dentist
How can a clinician confirm that a patient with a headache has subarachnoid hemorrhage ?,0.0655894398908886,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",internal medicine
When does a chronic lympocytic leukemia transform to a diffuse large b cell lymphoma?,0.0540284430871288,['Open-ended question that is potentially ambiguous'],internal medicine
A 30 year old primigravid pregnant woman walks into the clinic complaining of intense contractions that last. How can a physician differentiate between true onset of labour and braxton hicks contractions?,0.0869963166223186,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",internal medicine
What are the most common translocations associated with chronic myeloid leukemia? ,0.074542598190466,['Directed question that has a single unambiguous answer'],Oncology 
My child has been having easy bruising and fatigue for the past 6 months. Recently his labs came back and his total lymphocyte count was elevated. The diagnosis given to me by the doctor was acute lymphoblastic leukemia. What is it and what is the prognosis? ? ,0.1618021093467543,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Oncology 
"Give that I'm 23 years old, smoking 12 cigarettes daily for the past three years, with history of dyslipidemia, which types of cancer am I most prone to get? ",0.0148506918014784,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Oncology 
What are signs of a patient experiencing sepsis?,0.0404459128352107,['Summarization of information on a topic'],Pharmacist
"If a patient comes in having shortness of breath, what are potential treatment options?",0.0596797853896976,['Open-ended question that is potentially ambiguous'],Pharmacist
"A patient comes in with shortness of breath and pulmonary oedema, what are the differental diagonosis?",0.0165308604926647,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacist
"How can we classify studies conducted by transgender people? As the gender they define themselves as or as a separate category, transgender people?",0.0155225880483924,['Open-ended question that is potentially ambiguous'],I am a nursing and dentistry teacher
"A patient with early dementia. This person is being given all possible care and is living a happy life surrounded by family members who are helping him through the process. The problem is that the patient has made a provision in his living will that if at any time his dementia becomes limiting, he will request euthanasia. That moment will come, but this person is happy now. Should the decision he made when he was mentally fit be applied, or, taking into account that he is happy, should he be allowed to live longer?",0.1112186871589387,['Question that describes a hypothetical scenario and asks a question based on this scenario'],I am a nursing and dentistry teacher
"A person who does not like working with people but is passionate about medicine. Knowing that he/she will not be happy practicing, is it worthwhile for him/her to finish such a difficult career just for vocation? ",0.0646474733837184,['Open-ended question that is potentially ambiguous'],I am a nursing and dentistry teacher
"A patient receiving treatment including cisplatin, paclitaxel, and pembrolizumab develops worsening shortness of breath one week after her third dose of treatment. What possible problems could she have developed and what should studies should be included in her initial workup?",0.0368117027741923,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Oncology
What is the impact of consultation duration in efficacy of health results obtained in the long term? Where can I find more information to help me gauge the impact of the amount of time spent with the patient in each consultation?,0.019530867989873,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']",Family Medicine
"When a patient is started on biologic medications, it is important to rule out latent infections like tuberculosis, and complete certain vaccination schemes. Can you compile which of these attitudes are recommended for each different biologic treatment used in rheumatology?",0.0020036122470993,['Summarization of information on a topic'],Family Medicine
"In a 55 year-old patient whose cardiovascular risk factors are dislipidemia (assume a c-LDL of 150 mg/dL) and smoking (assume 20 cigarettes/day, for 20 years), if you could only choose one, which of the following would have a greater impact in reducing cardiovascular risk: smoking cessation, or starting atorvastatin 20 mg, once daily?",0.0333866062043814,['Directed question that has a single unambiguous answer'],Family Medicine
How often should I brush and floss my teeth?,0.1032302487074118,['Open-ended question that is potentially ambiguous'],Dentistry
Should you put bond when you do fissure sealants?,0.0125356763939594,['Directed question that has a single unambiguous answer'],Dentistry
Should you extract third molars prolifically?,0.0911374583928912,['Open-ended question that is potentially ambiguous'],Dentistry
Which PPI should not be given with clopidogrel?,0.0150614475402716,['Directed question that has a single unambiguous answer'],pharmacist
When someone takes warfarin what are the vegetables that should be avoided?,0.1395728068631817,['Open-ended question that is potentially ambiguous'],pharmacist
What are the side effects of ACEIs?,0.1375682317996963,['Summarization of information on a topic'],pharmacist
Does the medical field require one to be consumed by drugs rather than holistic medicines?,0.1552320844577788,['Open-ended question that is potentially ambiguous'],Sales rep in medicines
Do you think cognitive behavioural therapy can work for psychosis?,0.0496062627368635,['Request for opinion on a topic'],Psychology
How do you adapt cognitive stimulation therapy for individuals with a learning disability?,0.0505902417052075,['Advice or suggestions on how to approach a problem'],Psychology
Which books are the best for child and youth psychiatry?,0.0610256719040856,['Request for a list of resources where one can find more information'],Psychotherapy
What is known about the switch that occurs between patients with latent HIV and active infection?,0.0475939466816387,['Summarization of information on a topic'],Virologist
What has caused the recent stock problems in HRT?,0.0557845961556173,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']",Pharmacy
How long will it take for a child to speak with therapy?,0.1245215249049483,['Open-ended question that is potentially ambiguous'],Speech and Language Therapy - children's therapy
What would be the best methodological approach to study microRNAs as therapeutic targets in HIV patients?,0.0597841099633678,['Advice or suggestions on how to approach a problem'],Virologist
Why do people look down on healthcare workers?,0.1177008828709534,['Open-ended question that is potentially ambiguous'],Healthcare 
What's the best treatment for fibromyalgia?,0.1288932430435188,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem', 'Request for a list of resources where one can find more information']",Family Medicine 
What is the mechanism of action of the drug warfarin and how does it interact with other medications?,0.0876636507894357,['Summarization of information on a topic'],Pharmacist 
What is your opinion on euthanasia?,0.0141720907092345,['Request for opinion on a topic'],Biomedical Science 
What are some early detection methods for Glomus tympanum?,0.0664001634039068,['Directed question that has a single unambiguous answer'],Biomedical engineering. Main area of work is developing primary health care equipment.
What the exact differences are between the male and the female brain?,0.0450208554350332,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']",psychiatrist
A person who has been unemployed for 20 years due to mental health problems would like to get a job. What support might you offer?,0.0326522635770091,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Occupational Therapy
"What are the differential diagnosis for a patient who presents with fever, respiratory distress and high blood pressure?",0.1326334647296893,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Patient Safety
Which options for therapy are there for ADHD in children?,0.0164112120682584,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",Psychotherapy
How can you manage your patient expectations?,0.011701068229242,['Open-ended question that is potentially ambiguous'],Aesthetic
What cardiac condition affects neonates born to diabetic mothers?,0.0398787459498128,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']",Paediatrics
What is known about DNA methylation profiles in patients with latent HIV-1 or with an active infection?,0.0168638118603732,['Summarization of information on a topic'],Virologist
Does foot ulcer need a diet change rather than using iodine based medicines for it?,0.0140398075934488,['Request for a list of resources where one can find more information'],Sales rep in medicines
A patient presents to your clinic with a first episode psychosis. What are the NICE recommended treatments for this issue?,0.0500890312850827,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Psychiatry
How would you deal with a potentially abusive coworker?,0.0100744021633265,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Support Work
"In the context of immune related blistering skin disorders, what are the potential causes for a false positive skin antibody on a blood test?",0.1669458558765393,['Open-ended question that is potentially ambiguous'],Dermatology
What are the most effective therapeutic interventions for treating depression?,0.2337337868765016,['Open-ended question that is potentially ambiguous'],psychiatrist
How do you approach a doctor as a nurse if you think he administered a wrong medication for the symptoms of the patient? ,0.0377019046345891,['Request for opinion on a topic'],registered nurse in trauma
