question,Smooth_Bleu_Score,question_types,specific_field
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.0236225011664674,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Generalist physician
What findings could be appear on the RxTx of the previous patient?,0.0532700379301571,['Open-ended question that is potentially ambiguous'],Generalist physician
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.0262077225807496,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Generalist physician
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.0580059821757643,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Research scientist
What is the sexually transmitted disease HPV?,0.0237104342858478,['Summarization of information on a topic'],Chemistry in the clinical area
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.0017656037359503,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Chemistry in the clinical area
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.0233030036615688,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Chemistry in the clinical area
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.0584950553046732,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']",Clinical Research
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",0.0056206964482098,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Research
What are the most encountered barriers in clinical research related to Bioethics?,0.0027487268622846,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",Clinical Research
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.0467419154974402,['Directed question that has a single unambiguous answer'],Virology
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,0.0035574872775094,['Request for a list of resources where one can find more information'],Virology
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.0534980581663531,['Directed question that has a single unambiguous answer'],Virology
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.089963118597727,['Open-ended question that is potentially ambiguous'],General Medicine 
What sign is observed in the barium esophagram in patients with achalasia?,0.0850574574475006,['Directed question that has a single unambiguous answer'],General Medicine 
What are the cardinal symptoms of laryngotracheitis?,0.0243319261226305,['Summarization of information on a topic'],General Medicine 
What is the contraception method of election when a woman can't take estrogen?,0.0937280745907261,['Open-ended question that is potentially ambiguous'],General medicine 
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",0.0831231465746839,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General medicine 
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",0.0032900822221308,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General medicine 
"During a squat, if the knees fall inwards which muscle are weak?",0.0175763851046461,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Orthopedics and Physiotherapist
If a patient's X ray has dark spots on the chest what does it mean?,0.005146963749821,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Orthopedics and Physiotherapist
Describe treatment methods of congenital Talipes equinovarus.,0.0039463763822179,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",Orthopedics and Physiotherapist
What are the most common injuries in childhood among Hispanic families?,0.0553776746524584,['Open-ended question that is potentially ambiguous'],Medical Primary Care 
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.0314652487605557,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Medical Primary Care 
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.0326847777484643,['Advice or suggestions on how to approach a problem'],Medical Primary Care 
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.1207850214476011,['Directed question that has a single unambiguous answer'],Surgeon
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.1348319091066059,['Directed question that has a single unambiguous answer'],Surgeon
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",0.0340050468499757,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Surgeon
What kind of advice can I give to a parent with a child with vocal nodules?,0.0227160309277218,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Speech and Language Therapy
What classroom strategies are there for DLD?,0.0080340546847499,['Advice or suggestions on how to approach a problem'],Speech and Language Therapy
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.0279295528454978,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Speech and Language Therapy
What is the diagnostic criteria for Anorexia Nervosa?,0.0703014928354025,['Directed question that has a single unambiguous answer'],Clinical Psychology
What is the evidence base for CBT for depression?,0.0036014294789769,['Summarization of information on a topic'],Clinical Psychology
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.004147040748102,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Psychology
What is the condition that is associated with Carhartt’s Notch?,0.0085597324702695,['Directed question that has a single unambiguous answer'],Audiology
What are the two types of hearing loss?,0.1241442103285354,['Directed question that has a single unambiguous answer'],Audiology
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.00366355342118,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Audiology
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.072930699846513,['Open-ended question that is potentially ambiguous'],Physical Medicine and Rehabilitation also COVID patients
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.0021726103791112,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Physical Medicine and Rehabilitation also COVID patients
What is the treatment for blood vessel clogging?,0.0466936547164753,['Directed question that has a single unambiguous answer'],Image guided therapy 
What do you think the future of image guided therapy is?,0.007608723330116,['Request for opinion on a topic'],Image guided therapy 
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.0075230631356902,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Image guided therapy 
What is the first step to do in a patient with a VF?,0.1611044519782024,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Doctor of Medicine
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.0797682934291313,['Open-ended question that is potentially ambiguous'],Doctor of Medicine
How to treat a patient with 80% of his body with 3rd grade burnings?,0.0019270913753207,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Doctor of Medicine
A patient is allergic to the only medication suitable for curing them. What do you do?,0.0130334710225537,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Dispensery
Do toxic chemicals become more or less toxic when they expire?,0.015668420217255,['Open-ended question that is potentially ambiguous'],Dispensery
What is the interaction between Anaerobyl and Alcohol on the human system?,0.0031668587476267,['Directed question that has a single unambiguous answer'],Dispensery
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.0081120596136026,['Question that describes a hypothetical scenario and asks a question based on this scenario'],General medical
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.0008965728472941,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",General medical
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.0587039137840004,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic', 'Request for opinion on a topic']",General medicine
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.026478695620496,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']",Family medicine 
How can we reduce patient surgery backlog in Canada?,0.034620893313709,"['Open-ended question that is potentially ambiguous', 'Advice or suggestions on how to approach a problem']",Family medicine 
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.0670193111463612,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Family medicine 
Is it possible to compound intrathecal methotrexat?,0.0319052121137223,"['Request for a list of resources where one can find more information', 'Request for opinion on a topic']",Oncology Pharmacist 
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",0.0101209081533122,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pediatrician
What's the best treatment option for an asthma crisis on a pediatric patient?,0.119895444145951,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']",Pediatrician
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.0311478893491786,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pediatrician
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,0.0083346822356831,['Advice or suggestions on how to approach a problem'],Pharmaceutical industry
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,0.0057979245835959,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmaceutical industry
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.0158715161249687,['Open-ended question that is potentially ambiguous'],Pharmaceutical industry
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.1604689454147083,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Cardiology
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.072249201043531,['Directed question that has a single unambiguous answer'],Cardiology
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",0.0179611096213475,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Cardiology
What legislation underpins assessment of children with disabilities for social care support?,0.0800702340681931,['Directed question that has a single unambiguous answer'],social worker
How should I engage with a non-verbal child to gather their views?,0.0049952995953503,['Advice or suggestions on how to approach a problem'],social worker
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.0780119960580022,"['Directed question that has a single unambiguous answer', 'Summarization of information on a topic']",Pharmacist
Should expectorant or antitussive syrup be recommended for a wet cough?,0.043468691600863,['Directed question that has a single unambiguous answer'],Pharmacist
What can severe pain in the right side of the belly button indicate?,0.0733225886636038,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacist
Sickle cells are characteristic from which kind of disease?,0.0316747853934659,['Directed question that has a single unambiguous answer'],Clinical Laboratory
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.0462885254454331,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Clinical Laboratory
How can we treat infection caused by Neisseria gonorrhoeae?,0.0266409436136787,['Directed question that has a single unambiguous answer'],Clinical Laboratory
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",0.0145600567256887,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Neuroscience researcher
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",0.0074887006072564,['Advice or suggestions on how to approach a problem'],Neuroscience researcher
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.0309068986072283,"['Open-ended question that is potentially ambiguous', 'Request for opinion on a topic']",Neuroscience researcher
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.0713498992094874,['Directed question that has a single unambiguous answer'],Pharmacy field
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",0.0280737599100216,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacy field
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,0.0049887079334664,['Summarization of information on a topic'],Pharmacy field
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",0.0256930709520266,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Psychotherapy
What are the common approaches to coping with periods of acute dis-regulation?,0.0611886004983446,['Advice or suggestions on how to approach a problem'],Psychotherapy
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.0752467619070232,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Psychotherapy
Teach me PCR in three sentences.,0.0023615074687245,['Summarization of information on a topic'],biomedical science
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.0190705227432569,['Open-ended question that is potentially ambiguous'],biomedical science
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",0.0005592335013866,['Question that describes a hypothetical scenario and asks a question based on this scenario'],biomedical science
Should we inform patients that homeopathic medicines don't work?,0.004098717810564,['Directed question that has a single unambiguous answer'],Pharmacy
Why we do not check exact ingredients of dietary supplements?,0.0295319311847132,['Open-ended question that is potentially ambiguous'],Pharmacy
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,0.006273816816102,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacy
When would you start antibiotic in a acute pharingitis?,0.0066133575510936,['Advice or suggestions on how to approach a problem'],medical profesional based in family medicine
What is the first radiological sign of fetal death?,0.0143843964523455,['Directed question that has a single unambiguous answer'],medical profesional based in family medicine
What is the initial treatment for anal fissures?,0.0513855161197674,['Summarization of information on a topic'],medical profesional based in family medicine
"A patient who is a smoker has a lesion on his mouth that causes pain, could it be a carcinoma?",0.0579261241221482,['Question that describes a hypothetical scenario and asks a question based on this scenario'],dentist
What is the best anesthesia for diabetic patients?,0.0177858184608487,['Directed question that has a single unambiguous answer'],dentist
How does smoking affect periodontal disease?,0.0075673310532853,['Open-ended question that is potentially ambiguous'],dentist
How can a clinician confirm that a patient with a headache has subarachnoid hemorrhage ?,0.0164971739558344,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",internal medicine
When does a chronic lympocytic leukemia transform to a diffuse large b cell lymphoma?,0.0344258696126914,['Open-ended question that is potentially ambiguous'],internal medicine
A 30 year old primigravid pregnant woman walks into the clinic complaining of intense contractions that last. How can a physician differentiate between true onset of labour and braxton hicks contractions?,0.0182854993809355,"['Directed question that has a single unambiguous answer', 'Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",internal medicine
What are the most common translocations associated with chronic myeloid leukemia? ,0.1683247054050266,['Directed question that has a single unambiguous answer'],Oncology 
My child has been having easy bruising and fatigue for the past 6 months. Recently his labs came back and his total lymphocyte count was elevated. The diagnosis given to me by the doctor was acute lymphoblastic leukemia. What is it and what is the prognosis? ? ,0.0678800476196229,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Oncology 
"Give that I'm 23 years old, smoking 12 cigarettes daily for the past three years, with history of dyslipidemia, which types of cancer am I most prone to get? ",0.0226135345617671,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Oncology 
What are signs of a patient experiencing sepsis?,0.0327669342925058,['Summarization of information on a topic'],Pharmacist
"If a patient comes in having shortness of breath, what are potential treatment options?",0.0431069541134395,['Open-ended question that is potentially ambiguous'],Pharmacist
"A patient comes in with shortness of breath and pulmonary oedema, what are the differental diagonosis?",0.0130744710916634,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Pharmacist
"How can we classify studies conducted by transgender people? As the gender they define themselves as or as a separate category, transgender people?",0.0146419770490995,['Open-ended question that is potentially ambiguous'],I am a nursing and dentistry teacher
"A patient with early dementia. This person is being given all possible care and is living a happy life surrounded by family members who are helping him through the process. The problem is that the patient has made a provision in his living will that if at any time his dementia becomes limiting, he will request euthanasia. That moment will come, but this person is happy now. Should the decision he made when he was mentally fit be applied, or, taking into account that he is happy, should he be allowed to live longer?",0.0777038578147602,['Question that describes a hypothetical scenario and asks a question based on this scenario'],I am a nursing and dentistry teacher
"A person who does not like working with people but is passionate about medicine. Knowing that he/she will not be happy practicing, is it worthwhile for him/her to finish such a difficult career just for vocation? ",0.0028338445752264,['Open-ended question that is potentially ambiguous'],I am a nursing and dentistry teacher
"A patient receiving treatment including cisplatin, paclitaxel, and pembrolizumab develops worsening shortness of breath one week after her third dose of treatment. What possible problems could she have developed and what should studies should be included in her initial workup?",0.0285142223579968,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Oncology
What is the impact of consultation duration in efficacy of health results obtained in the long term? Where can I find more information to help me gauge the impact of the amount of time spent with the patient in each consultation?,0.0211231838186954,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']",Family Medicine
"When a patient is started on biologic medications, it is important to rule out latent infections like tuberculosis, and complete certain vaccination schemes. Can you compile which of these attitudes are recommended for each different biologic treatment used in rheumatology?",0.0045412330227834,['Summarization of information on a topic'],Family Medicine
"In a 55 year-old patient whose cardiovascular risk factors are dislipidemia (assume a c-LDL of 150 mg/dL) and smoking (assume 20 cigarettes/day, for 20 years), if you could only choose one, which of the following would have a greater impact in reducing cardiovascular risk: smoking cessation, or starting atorvastatin 20 mg, once daily?",0.0053855840185686,['Directed question that has a single unambiguous answer'],Family Medicine
How often should I brush and floss my teeth?,0.1421944346463681,['Open-ended question that is potentially ambiguous'],Dentistry
Should you put bond when you do fissure sealants?,0.0264543259403932,['Directed question that has a single unambiguous answer'],Dentistry
Should you extract third molars prolifically?,0.0219414013679568,['Open-ended question that is potentially ambiguous'],Dentistry
Which PPI should not be given with clopidogrel?,0.0886465881388911,['Directed question that has a single unambiguous answer'],pharmacist
When someone takes warfarin what are the vegetables that should be avoided?,0.0089649700843041,['Open-ended question that is potentially ambiguous'],pharmacist
What are the side effects of ACEIs?,0.0749508879132432,['Summarization of information on a topic'],pharmacist
Does the medical field require one to be consumed by drugs rather than holistic medicines?,0.0958378583075967,['Open-ended question that is potentially ambiguous'],Sales rep in medicines
Do you think cognitive behavioural therapy can work for psychosis?,0.0338034702662269,['Request for opinion on a topic'],Psychology
How do you adapt cognitive stimulation therapy for individuals with a learning disability?,0.0692285147289037,['Advice or suggestions on how to approach a problem'],Psychology
Which books are the best for child and youth psychiatry?,0.0203262249391071,['Request for a list of resources where one can find more information'],Psychotherapy
What is known about the switch that occurs between patients with latent HIV and active infection?,0.0140060939631154,['Summarization of information on a topic'],Virologist
What has caused the recent stock problems in HRT?,0.0992569147435346,"['Open-ended question that is potentially ambiguous', 'Summarization of information on a topic']",Pharmacy
How long will it take for a child to speak with therapy?,0.0177851955881496,['Open-ended question that is potentially ambiguous'],Speech and Language Therapy - children's therapy
What would be the best methodological approach to study microRNAs as therapeutic targets in HIV patients?,0.0445662084770369,['Advice or suggestions on how to approach a problem'],Virologist
Why do people look down on healthcare workers?,0.0406140949342235,['Open-ended question that is potentially ambiguous'],Healthcare 
What's the best treatment for fibromyalgia?,0.0109974250755435,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem', 'Request for a list of resources where one can find more information']",Family Medicine 
What is the mechanism of action of the drug warfarin and how does it interact with other medications?,0.0563980352917519,['Summarization of information on a topic'],Pharmacist 
What is your opinion on euthanasia?,0.0050390958418853,['Request for opinion on a topic'],Biomedical Science 
What are some early detection methods for Glomus tympanum?,0.0410288787308638,['Directed question that has a single unambiguous answer'],Biomedical engineering. Main area of work is developing primary health care equipment.
What the exact differences are between the male and the female brain?,0.0154001633849622,"['Summarization of information on a topic', 'Request for a list of resources where one can find more information']",psychiatrist
A person who has been unemployed for 20 years due to mental health problems would like to get a job. What support might you offer?,0.0175772170742859,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Occupational Therapy
"What are the differential diagnosis for a patient who presents with fever, respiratory distress and high blood pressure?",0.1318238635441287,"['Open-ended question that is potentially ambiguous', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Patient Safety
Which options for therapy are there for ADHD in children?,0.0080414607426263,"['Summarization of information on a topic', 'Advice or suggestions on how to approach a problem']",Psychotherapy
How can you manage your patient expectations?,0.0247356540614007,['Open-ended question that is potentially ambiguous'],Aesthetic
What cardiac condition affects neonates born to diabetic mothers?,0.1000380665019325,"['Directed question that has a single unambiguous answer', 'Open-ended question that is potentially ambiguous']",Paediatrics
What is known about DNA methylation profiles in patients with latent HIV-1 or with an active infection?,0.0085693553044154,['Summarization of information on a topic'],Virologist
Does foot ulcer need a diet change rather than using iodine based medicines for it?,0.0035099518983621,['Request for a list of resources where one can find more information'],Sales rep in medicines
A patient presents to your clinic with a first episode psychosis. What are the NICE recommended treatments for this issue?,0.0711848905621817,"['Advice or suggestions on how to approach a problem', 'Question that describes a hypothetical scenario and asks a question based on this scenario']",Psychiatry
How would you deal with a potentially abusive coworker?,0.0014074629025277,['Question that describes a hypothetical scenario and asks a question based on this scenario'],Support Work
"In the context of immune related blistering skin disorders, what are the potential causes for a false positive skin antibody on a blood test?",0.0325285682862409,['Open-ended question that is potentially ambiguous'],Dermatology
What are the most effective therapeutic interventions for treating depression?,0.0296178284759744,['Open-ended question that is potentially ambiguous'],psychiatrist
How do you approach a doctor as a nurse if you think he administered a wrong medication for the symptoms of the patient? ,0.0026887836122026,['Request for opinion on a topic'],registered nurse in trauma
